provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,079209G,Graduate Certificate in Art Curating,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,079210D,Graduate Diploma in Art Curating,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,079211C,Master of Art Curating,No,09 - Society and Culture,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,079212B,Graduate Certificate in English Studies,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,079213A,Graduate Diploma in English Studies,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,079214M,Master of English Studies,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,079215K,Bachelor of Applied Science (Diagnostic Radiography),No,06 - Health,0615 - Radiography,061501 - Radiography,Bachelor Degree,No,Yes,208,English,"$275,700.00",No
00026A,The University of Sydney,079216J,Doctor of Medicine,No,06 - Health,0601 - Medical Studies,060101 - General Medicine,Masters Degree (Coursework),No,Yes,208,English,"$405,800.00",No
00026A,The University of Sydney,079217G,Bachelor of Medical Science/Doctor of Medicine,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,Masters Degree (Coursework),No,No,364,English,"$570,400.00",No
00026A,The University of Sydney,079218G,Bachelor of Science and Doctor of Medicine,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019900 - Natural and Physical Sciences, n.f.d.",Masters Degree (Coursework),No,Yes,364,English,"$630,900.00",No
00026A,The University of Sydney,079222M,Bachelor of Veterinary Biology/Doctor of Veterinary Medicine,Yes,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Masters Degree (Extended),No,Yes,312,English,"$475,600.00",No
00026A,The University of Sydney,079223K,Bachelor of Veterinary Biology (Hons),No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$72,000.00",No
00026A,The University of Sydney,079224J,Doctor of Veterinary Medicine,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Masters Degree (Extended),No,Yes,208,English,"$336,800.00",No
00026A,The University of Sydney,079240J,Graduate Diploma in Primary Health Care,No,06 - Health,0603 - Nursing,060301 - General Nursing,Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,079241G,Master of Primary Health Care,No,06 - Health,0603 - Nursing,060301 - General Nursing,Masters Degree (Coursework),No,No,78,English,"$61,490.00",No
00026A,The University of Sydney,079526F,Graduate Certificate in Design Science (Illumination Design),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,Graduate Certificate,No,No,26,English,"$24,850.00",No
00026A,The University of Sydney,079527E,Graduate Diploma in Design Science (Illumination Design),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040107 - Interior and Environmental Design,Graduate Diploma,No,No,52,English,"$49,700.00",No
00026A,The University of Sydney,079640D,Master of Cultural Studies,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,079641C,Master of Health Communication,No,06 - Health,0613 - Public Health,061307 - Health Promotion,Masters Degree (Coursework),No,No,78,English,"$81,950.00",No
00026A,The University of Sydney,079642B,Master of Political Economy,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090101 - Political Science,Masters Degree (Coursework),No,No,78,English,"$81,950.00",No
00026A,The University of Sydney,079643A,Master of Publishing,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,079644M,Master of Strategic Public Relations,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,081031M,Graduate Certificate in Bioethics,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,"010999 - Biological Sciences, n.e.c.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,082877A,Master of Environmental Science,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,082878M,Master of Clinical Psychology,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Masters Degree (Coursework),No,Yes,104,English,"$125,300.00",No
00026A,The University of Sydney,082879K,Bachelor of Architecture and Environments,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Bachelor Degree,No,No,156,English,"$162,300.00",No
00026A,The University of Sydney,082893A,Bachelor of Architecture and Environments (Honours),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Bachelor Honours Degree,No,No,52,English,"$52,500.00",No
00026A,The University of Sydney,082894M,Graduate Certificate in Architectural Science,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,Graduate Certificate,No,No,26,English,"$24,850.00",No
00026A,The University of Sydney,082895K,Graduate Diploma in Architectural Science,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,Graduate Diploma,No,No,52,English,"$49,700.00",No
00026A,The University of Sydney,082896J,Master of Architectural Science (One Stream),No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,082897G,Master of Architectural Science (Two streams),No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,Masters Degree (Coursework),No,No,104,English,"$100,900.00",No
00026A,The University of Sydney,082898G,Master of Urbanism,No,04 - Architecture and Building,0403 - Building,040301 - Building Science and Technology,Masters Degree (Coursework),No,No,104,English,"$100,900.00",No
00026A,The University of Sydney,082899F,Master of Applied Linguistics,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082900G,Master of Creative Writing,No,10 - Creative Arts,1007 - Communication and Media Studies,100705 - Written Communication,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082901F,Master of Crosscultural Communication,No,10 - Creative Arts,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082903D,Master of Development Studies,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082905B,Master of Human Rights,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082906A,Master of International Security,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,082907M,Master of International Studies,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,082908K,Master of Peace and Conflict Studies,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,082909J,Master of Public Policy,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,082910E,Master of US Studies,No,09 - Society and Culture,0901 - Political Science and Policy Studies ,"090100 - Political Science and Policy Studies, n.f.d.",Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,082911D,Bachelor of Project Management (Honours),No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Bachelor Honours Degree,No,No,52,English,"$60,600.00",No
00026A,The University of Sydney,082912C,Master of Information Technology,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,082913B,Master of Information Technology Management,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,082914A,Master of Project Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,082918G,Master of Clinical Psychology & Doctor of Philosophy,Yes,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Doctoral Degree,No,Yes,234,English,"$279,090.00",No
00026A,The University of Sydney,083109M,Bachelor of Engineering (Honours),No,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,083286E,Master of Contemporary Art,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,083287D,Master of Moving Image,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,083314F,Direct Entry Course,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,No,No,41,English,"$24,624.00",No
00026A,The University of Sydney,083318B,Master of Marine Science and Management,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010907 - Marine Science,Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,083319A,Executive Master of Arts and Social Sciences,No,09 - Society and Culture,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Masters Degree (Coursework),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,083631D,Bachelor of Engineering (Honours) and Bachelor of Arts,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,083632C,Bachelor of Engineering (Honours) and Bachelor of Commerce,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,083633B,Bachelor of Engineering (Honours) and Bachelor of Design in Architecture,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,083634A,Bachelor of Engineering (Honours) and Bachelor of Laws,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,312,English,"$364,000.00",No
00026A,The University of Sydney,083635M,Bachelor of Engineering (Honours) and Bachelor of Medical Science,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$332,900.00",No
00026A,The University of Sydney,083636K,Bachelor of Engineering (Honours) and Bachelor of Project Management,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,083637J,Bachelor of Engineering (Honours) and Bachelor of Science,Yes,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,083638G,Master of Information Technology and Master of Information Technology Management,Yes,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Masters Degree (Coursework),No,No,104,English,"$117,500.00",No
00026A,The University of Sydney,083641B,Graduate Diploma in Computing,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Graduate Diploma,No,No,78,English,"$63,500.00",No
00026A,The University of Sydney,083644K,Master of Medicine (Advanced),No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$77,600.00",No
00026A,The University of Sydney,083645J,Master of Science in Medicine,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,083646G,Master of Science in Medicine (Advanced),No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Masters Degree (Coursework),No,No,78,English,"$77,600.00",No
00026A,The University of Sydney,083647G,Graduate Diploma in Medicine,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,083648F,Graduate Diploma in Science in Medicine,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,083649E,Graduate Certificate in Medicine,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,083650A,Graduate Certificate in Science in Medicine,No,06 - Health,0601 - Medical Studies,"060100 - Medical Studies, n.f.d.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,083651M,Master of Environmental Science and Law,No,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050999 - Environmental Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,083950M,Master of Economics,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),No,No,104,English,"$125,300.00",No
00026A,The University of Sydney,083976A,Master of Health Technology Innovation,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Masters Degree (Coursework),No,No,104,English,"$117,500.00",No
00026A,The University of Sydney,083977M,Graduate Diploma in Health Technology Innovation,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Graduate Diploma,No,No,78,English,"$72,800.00",No
00026A,The University of Sydney,084691F,Master of Advanced Nursing Practice,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$61,490.00",No
00026A,The University of Sydney,084692E,Graduate Diploma in Advanced Nursing Practice,No,06 - Health,0603 - Nursing,"060399 - Nursing, n.e.c.",Graduate Diploma,No,No,52,English,"$48,900.00",No
00026A,The University of Sydney,084693D,Master of Agriculture and Environment,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$87,700.00",No
00026A,The University of Sydney,084694C,Graduate Diploma in Agriculture and Environment,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Graduate Diploma,No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,084696A,Master of Veterinary Studies,No,06 - Health,0611 - Veterinary Studies,"061199 - Veterinary Studies, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,085342G,Bachelor of Science and Doctor of Dental Medicine,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019900 - Natural and Physical Sciences, n.f.d.",Masters Degree (Coursework),No,Yes,364,English,"$621,500.00",No
00026A,The University of Sydney,085860G,Graduate Certificate in Health Security,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,085862F,Master of Health Security,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Masters Degree (Coursework),No,No,104,English,"$125,300.00",No
00026A,The University of Sydney,086045J,Advanced Skills for Academic Success,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,No,No,4,English,"$1,950.00",No
00026A,The University of Sydney,086047G,Graduate Academic Skills,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,No,No,7,English,"$2,920.00",No
00026A,The University of Sydney,086268E,Bachelor of Project Management and Bachelor of Arts,Yes,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,086272J,Bachelor of Engineering (Honours) and Bachelor of Music Studies,Yes,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Honours Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,086400F,Master of Philosophy (Science),No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Masters Degree (Research),No,No,104,English,"$109,800.00",No
00026A,The University of Sydney,087980F,Graduate Certificate in Data Science,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Graduate Certificate,No,No,26,English,"$28,950.00",No
00026A,The University of Sydney,087981E,Master of Data Science,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Masters Degree (Coursework),No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,088106G,Bachelor of Applied Science (Exercise Physiology),No,06 - Health,0699 - Other Health,069903 - Human Movement,Bachelor Degree,No,Yes,208,English,"$275,700.00",No
00026A,The University of Sydney,088318F,Master of Interaction Design and Electronic Arts (with specialisation),No,03 - Engineering and Related Technologies,0313 - Electrical and Electronic Engineering and Technology,031305 - Computer Engineering,Masters Degree (Coursework),No,No,104,English,"$104,100.00",No
00026A,The University of Sydney,088554E,Visiting Researcher Program (52 weeks),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,52,English,$0.00,No
00026A,The University of Sydney,088555D,Visiting Researcher Program (104 weeks),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,104,English,$0.00,No
00026A,The University of Sydney,088746G,Graduate Diploma in Logistics and Supply Chain Management,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Graduate Diploma,No,No,52,English,"$46,275.00",No
00026A,The University of Sydney,088747G,Master of Logistics and Supply Chain Management,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$77,600.00",No
00026A,The University of Sydney,089436C,Bachelor of Pharmacy and Management,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,Bachelor Degree,No,Yes,260,English,"$321,700.00",No
00026A,The University of Sydney,089556F,University of Sydney High Achievers Preparation Program,No,12 - Mixed Field Programmes,1201 - General Education Programmes,"120199 - General Education Programmes, n.e.c.",Non AQF Award,No,No,14,English,"$31,300.00",No
00026A,The University of Sydney,089810G,Master of Complex Systems,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",Masters Degree (Coursework),No,No,104,English,"$117,500.00",No
00026A,The University of Sydney,089811G,Graduate Diploma in Complex Systems,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,"030900 - Civil Engineering, n.f.d.",Graduate Diploma,No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,090281G,Bachelor of Education (Health and Physical Education),No,07 - Education,0701 - Teacher Education,070105 - Teacher Education: Secondary,Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,090778D,Graduate Diploma in Moving Image,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",Graduate Diploma,No,No,52,English,"$41,000.00",No
00026A,The University of Sydney,090781J,Bachelor of Design in Architecture (Honours) and Master of Architecture,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040101 - Architecture,Masters Degree (Coursework),No,No,260,English,"$278,800.00",No
00026A,The University of Sydney,093678F,Graduate Diploma in Business Law,No,09 - Society and Culture,0909 - Law,090901 - Business and Commercial Law,Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,093741D,Bachelor of Arts and Bachelor of Advanced Studies,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,208,English,"$219,700.00",No
00026A,The University of Sydney,093742C,Bachelor of Economics and Bachelor of Advanced Studies,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,No,208,English,"$235,500.00",No
00026A,The University of Sydney,093743B,Bachelor of Commerce and Bachelor of Advanced Studies,No,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,No,No,208,English,"$235,500.00",No
00026A,The University of Sydney,093744A,Bachelor of Science and Bachelor of Advanced Studies,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,208,English,"$253,500.00",No
00026A,The University of Sydney,093745M,Bachelor of Design Computing and Bachelor of Advanced Studies,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Bachelor Degree,No,No,208,English,"$209,180.00",No
00026A,The University of Sydney,093749G,Bachelor of Computing,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Degree,No,No,156,English,"$187,300.00",No
00026A,The University of Sydney,093751B,Bachelor of Arts and Doctor of Medicine,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Masters Degree (Extended),No,Yes,364,English,"$630,900.00",No
00026A,The University of Sydney,093855E,Bachelor of Advanced Computing,No,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Degree,No,No,208,English,"$253,500.00",No
00026A,The University of Sydney,093856D,Bachelor of Advanced Computing/Bachelor of Science,Yes,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,093857C,Bachelor of Advanced Computing/Bachelor of Commerce,Yes,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Degree,No,No,260,English,"$321,700.00",No
00026A,The University of Sydney,094170D,Bachelor of Visual Arts and Bachelor of Advanced Studies,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,Bachelor Degree,No,No,208,English,"$205,900.00",No
00026A,The University of Sydney,094484G,Bachelor of Music,No,10 - Creative Arts,1001 - Performing Arts ,100101 - Music,Bachelor Degree,No,No,208,English,"$210,500.00",No
00026A,The University of Sydney,095861B,Master of Business Administration (Leadership and Enterprise),No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Masters Degree (Coursework),No,No,78,English,"$91,050.00",No
00026A,The University of Sydney,096314K,Master of Crosscultural and Applied Linguistics,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,Masters Degree (Coursework),No,No,104,English,"$104,100.00",No
00026A,The University of Sydney,096315J,Graduate Diploma of Crosscultural and Applied Linguistics,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,096316G,Graduate Certificate of Crosscultural and Applied Linguistics,No,09 - Society and Culture,0915 - Language and Literature,091521 - Linguistics,Graduate Certificate,No,No,26,English,"$25,650.00",No
00026A,The University of Sydney,096317G,Graduate Diploma in Computing,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Graduate Diploma,No,No,52,English,"$55,100.00",No
00026A,The University of Sydney,096318F,Graduate Certificate in Computing,No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Graduate Certificate,No,No,26,English,"$25,250.00",No
00026A,The University of Sydney,097035J,Master of Mathematical Sciences,No,01 - Natural and Physical Sciences,0101 - Mathematical Sciences,"010199 - Mathematical Sciences, n.e.c.",Masters Degree (Coursework),No,No,104,English,"$125,300.00",No
00026A,The University of Sydney,097036G,Bachelor of Science and Master of Mathematical Sciences,Yes,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",Masters Degree (Coursework),No,No,234,English,"$289,550.00",No
00026A,The University of Sydney,097037G,Master of Public Health,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,097038F,Master of Global Health,No,06 - Health,0613 - Public Health,"061399 - Public Health, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$93,500.00",No
00026A,The University of Sydney,097699B,Graduate Certificate in Project and Program Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Graduate Certificate,No,No,26,English,"$28,950.00",No
00026A,The University of Sydney,097700C,Master of Project and Program Management,No,08 - Management and Commerce,0803 - Business and Management,080315 - Project Management,Masters Degree (Coursework),No,No,52,English,"$57,900.00",No
00026A,The University of Sydney,097886K,Graduate Diploma in Design,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,Graduate Diploma,No,No,52,English,"$51,300.00",No
00026A,The University of Sydney,097889G,Master of Design,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,Masters Degree (Coursework),No,No,104,English,"$104,100.00",No
00026A,The University of Sydney,098246A,Master of Design,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,Masters Degree (Coursework),No,No,78,English,"$77,700.00",No
00026A,The University of Sydney,098247M,Master of Professional Engineering (Accelerated),No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Masters Degree (Coursework),No,Yes,104,English,"$117,500.00",No
00026A,The University of Sydney,098597M,Graduate Diploma in Communication Disorders,No,06 - Health,0617 - Rehabilitation Therapies,"061799 - Rehabilitation Therapies, n.e.c.",Graduate Diploma,No,No,52,English,"$54,000.00",No
00026A,The University of Sydney,099884G,Bachelor of Advanced Studies,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Bachelor Degree,No,No,52,English,"$56,300.00",No
00026A,The University of Sydney,099888C,Graduate Certificate in Transport,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,Graduate Certificate,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,099889B,Graduate Diploma in Transport,No,03 - Engineering and Related Technologies,0309 - Civil Engineering,030909 - Transport Engineering,Graduate Diploma,No,No,52,English,"$61,700.00",No
