provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,026965K,Master of Studio Art,No,10 - Creative Arts,1003 - Visual Arts and Crafts,100301 - Fine Arts,Masters Degree (Coursework),No,No,52,English,"$40,500.00",No
00026A,The University of Sydney,027158M,Bachelor of Computer Science and Technology (Honours),No,02 - Information Technology,0201 - Computer Science,"020100 - Computer Science, n.f.d.",Bachelor Honours Degree,No,No,52,English,"$60,600.00",No
00026A,The University of Sydney,027888K,Master of Occupational Therapy,No,06 - Health,0617 - Rehabilitation Therapies,061703 - Occupational Therapy,Masters Degree (Coursework),No,Yes,104,English,"$126,500.00",No
00026A,The University of Sydney,028448D,Graduate Diploma in Environmental Law,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,028450K,Graduate Diploma in Taxation,No,09 - Society and Culture,0909 - Law,090911 - Taxation Law,Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,028770E,Bachelor of Applied Science (Exercise and Sport Science) Honours,No,06 - Health,0699 - Other Health,069903 - Human Movement,Bachelor Honours Degree,No,No,52,English,"$65,900.00",No
00026A,The University of Sydney,029878G,Graduate Certificate in Heritage Conservation,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Graduate Certificate,No,No,26,English,"$24,850.00",No
00026A,The University of Sydney,029879F,Graduate Certificate in Urban Design,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Certificate,No,No,26,English,"$24,850.00",No
00026A,The University of Sydney,029880B,Graduate Certificate in Urban and Regional Planning,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Certificate,No,No,26,English,"$24,850.00",No
00026A,The University of Sydney,029884J,Master of International Law,No,09 - Society and Culture,0909 - Law,090909 - International Law,Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
00026A,The University of Sydney,030522C,Doctor of Philosophy in Pharmacy,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,030523B,Bachelor of Arts (Languages),No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",Bachelor Degree,No,No,208,English,"$219,700.00",No
00026A,The University of Sydney,030526K,Graduate Diploma in International Law,No,09 - Society and Culture,0909 - Law,090909 - International Law,Graduate Diploma,No,No,26,English,"$30,850.00",No
00026A,The University of Sydney,031315B,Bachelor of Arts (Media and Communications),No,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",Bachelor Degree,No,Yes,208,English,"$219,700.00",No
00026A,The University of Sydney,031316A,Bachelor of Arts (Informatics),No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",Bachelor Degree,No,No,208,English,,No
00026A,The University of Sydney,031432G,Master of Health Law,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Masters Degree (Coursework),No,No,52,English,"$61,700.00",No
